,group
0,"['no_0', 'no_151']"
1,"['no_1', 'no_109', 'no_15']"
2,"['no_2', 'no_11']"
3,"['no_3', 'no_65']"
4,"['no_4', 'no_46', 'no_108']"
5,"['no_5', 'no_159', 'no_38']"
6,"['no_6', 'no_39', 'no_111']"
7,"['no_7', 'no_16']"
8,"['no_8', 'no_114', 'no_191']"
9,"['no_9', 'no_119', 'no_68']"
10,"['no_10', 'no_63', 'no_80']"
11,"['no_12', 'no_17', 'no_199']"
12,"['no_13', 'no_42', 'no_160']"
13,"['no_14', 'no_90', 'no_78']"
14,"['no_18', 'no_173']"
15,"['no_19', 'no_22', 'no_98']"
16,"['no_20', 'no_30']"
17,"['no_21', 'no_178']"
18,"['no_23', 'no_143', 'no_94']"
19,"['no_24', 'no_56']"
20,"['no_25', 'no_171']"
21,"['no_26', 'no_85', 'no_169']"
22,"['no_27', 'no_74']"
23,"['no_28', 'no_194', 'no_161']"
24,"['no_29', 'no_147']"
25,"['no_31', 'no_79']"
26,"['no_32', 'no_105']"
27,"['no_33', 'no_101']"
28,"['no_34', 'no_186']"
29,"['no_35', 'no_52']"
30,"['no_36', 'no_82', 'no_77']"
31,"['no_37', 'no_154', 'no_50']"
32,"['no_40', 'no_170', 'no_88']"
33,"['no_41', 'no_61']"
34,"['no_43', 'no_93']"
35,"['no_44', 'no_99']"
36,"['no_45', 'no_138', 'no_48']"
37,"['no_47', 'no_107']"
38,"['no_49', 'no_75', 'no_76']"
39,"['no_51', 'no_112', 'no_149']"
40,"['no_53', 'no_177']"
41,"['no_54', 'no_57']"
42,"['no_55', 'no_106', 'no_86']"
43,"['no_58', 'no_164']"
44,"['no_59', 'no_91', 'no_162']"
45,"['no_60', 'no_168', 'no_174']"
46,"['no_62', 'no_66', 'no_196']"
47,"['no_64', 'no_117']"
48,"['no_67', 'no_95', 'no_146']"
49,"['no_69', 'no_193', 'no_129']"
50,"['no_70', 'no_131', 'no_153']"
51,"['no_71', 'no_145']"
52,"['no_72', 'no_97', 'no_165']"
53,"['no_73', 'no_189', 'no_172']"
54,"['no_81', 'no_124', 'no_83']"
55,"['no_84', 'no_110']"
56,"['no_87', 'no_144']"
57,"['no_89', 'no_181', 'no_137']"
58,"['no_92', 'no_156']"
59,"['no_96', 'no_134', 'no_139']"
60,"['no_100', 'no_127', 'no_192']"
61,"['no_102', 'no_183']"
62,"['no_103', 'no_195', 'no_121']"
63,"['no_104', 'no_190']"
64,"['no_113', 'no_197']"
65,"['no_115', 'no_182', 'no_140']"
66,"['no_116', 'no_130']"
67,"['no_118', 'no_142']"
68,"['no_120', 'no_136', 'no_141']"
69,"['no_122', 'no_132', 'no_185']"
70,"['no_123', 'no_125']"
71,"['no_126', 'no_150']"
72,"['no_128', 'no_158', 'no_167']"
73,"['no_133', 'no_179']"
74,"['no_135', 'no_198', 'no_166']"
75,"['no_148', 'no_175', 'no_152']"
76,"['no_155', 'no_163', 'no_180']"
77,"['no_157', 'no_176', 'no_187']"
78,"['no_184', 'no_188']"
